GEOID,vics,off,GST.interest,n,hateful_tweets,users,hateful_users,sent_neg,sent_neu,sent_pos,sent_neg_sum,sent_neu_sum,sent_pos_sum,sent_compound,monthly_variation,weekly_variation,ALB,pop2020,tweets_rate,hateful_tweets_prop,hateful_tweets_rate,tweets_per_user,user_rate,hateful_tweets_per_user,hateful_tweets_per_hateful_users,vics_rate,off_rate,vics_off,pc1,pc2,pc3
13009,0,0,0.292834891,842,6,227,4,0.085893112,0.791570071,0.122564133,72.322,666.502,103.199,0.109160689,0.81920904,0.952380952,2,45072,0.018681221,0.007117438,0.00013312,3.692982456,0.005036386,0.026315789,1.2,0,0,0,0.239721583,0.167619937,0.040570873
13027,0,0,0.367601246,45,1,16,1,0.097488889,0.797555556,0.104977778,4.387,35.89,4.724,0.065108889,0.888888889,0.75,2,15548,0.002894263,0.02173913,6.43E-05,2.647058824,0.001029071,0.058823529,0.5,0,0,0,0.133740763,0.148669329,0.080024999
13103,0,0,0.386292835,365,1,93,1,0.078509589,0.800358904,0.121126027,28.656,292.131,44.211,0.117331781,0.803571429,0.9,2,62241,0.005864302,0.00273224,1.61E-05,3.882978723,0.001494192,0.010638298,0.5,0,0,0,0.189123022,0.154027632,0.026127695
13121,0,0,0.473520249,222152,1548,35716,1097,0.083583677,0.807175965,0.109240727,18568.281,179315.755,24268.046,0.091562864,0.63171752,0.78587243,2,1051550,0.211261471,0.006968171,0.001472113,6.219783296,0.033965099,0.043340706,1.409836066,0,0,0,0.042053237,0.11812527,-0.224324624
13141,0,0,0.292834891,13,0,12,0,0.056153846,0.857923077,0.085923077,0.73,11.153,1.117,0.082276923,0.75,0.5,2,8500,0.001529412,0,0,1,0.001411765,0,0,0,0,0,-0.148506978,0.107549726,0.203379134
13149,0,0,0.473520249,11,1,5,1,0.024909091,0.866636364,0.108454545,0.274,9.533,1.193,0.242154545,0.666666667,0.5,2,11785,0.00093339,0.083333333,8.49E-05,1.833333333,0.000424268,0.166666667,0.5,0,0,0,-0.193553665,0.08659985,0.128597764
13179,0,0,0.386292835,1732,5,358,5,0.106404734,0.788156467,0.105440531,184.293,1365.087,182.623,0.021460797,0.681481481,0.884615385,2,62039,0.027917923,0.00288517,8.06E-05,4.824512535,0.005770564,0.013927577,0.833333333,0,0,0,0.112092046,0.140331859,-0.060995666
13183,0,0,0.386292835,22,0,11,0,0.127954545,0.792090909,0.079909091,2.815,17.426,1.758,-0.135295455,0.75,0.75,2,19236,0.001143689,0,0,1.833333333,0.000571844,0,0,0,0,0,0.053269551,0.133868909,-0.021614142
13189,0,0,0.314641745,235,1,52,1,0.086280851,0.826629787,0.087093617,20.276,194.258,20.467,0.026564255,0.892857143,0.965517241,2,21404,0.010979256,0.004237288,4.67E-05,4.433962264,0.002429452,0.018867925,0.5,0,0,0,0.295260443,0.176238818,0.04282424
13209,0,0,0.386292835,4,0,3,0,0.01625,0.8765,0.10725,0.065,3.506,0.429,0.344025,0,0,2,9069,0.000441063,0,0,1,0.000330797,0,0,0,0,0,-0.989435288,-0.040083671,0.171811987
13229,0,0,0.417445483,39,0,17,0,0.073564103,0.818102564,0.108307692,2.869,31.906,4.224,0.192594872,0.833333333,0.75,2,19336,0.002016963,0,0,2.166666667,0.000879189,0,0,0,0,0,0.092847853,0.138027559,0.087119377
13267,0,0,0.386292835,139,0,32,0,0.081748201,0.785546763,0.132690647,11.363,109.191,18.444,0.165127338,0.888888889,0.947368421,2,25392,0.005474165,0,0,4.212121212,0.001260239,0,0,0,0,0,0.274984857,0.168704728,0.043922851
